;meta[language=en]
;  id     |key(hex)|key(str)|text
2119453002|00000000||I need help.
2119453006|00000000||Hey Witcher! Come here.
2119453008|00000000||Come here.
2119453010|00000000||I sent my soldiers to patrol the forest east of Ursten.
2119453012|00000000||I haven't had any news for several days.
2119453014|00000000||Filling out contracts, that's what you witchers do for a living.
2119453016|00000000||à vous les sorceleurs,
2119453018|00000000||remplir des contrats.
2119453020|00000000||Si c'est bien payé.
2119453022|00000000||Tout dépend qui demande.
2119453023|00000000||Si c'est bien payé.
2119453025|00000000||Si c'est bien payé.
2119453027|00000000||Tout dépend qui demande.
2119453029|00000000||If it's well paid.
2119453031|00000000||Why you asking me?
2119453033|00000000||Hum... I will have a look.
2119453035|00000000||The Redanian army is asking you.
2119453037|00000000||That should be enough.
2119453039|00000000||Money…
2119453041|00000000||You'll be well paid if you unravel this mystery.
2119453043|00000000||I can't imagine asking my superior for help because I've lost my troops.
2119453045|00000000||You have a reputation for not being very talkative, so…
2119453047|00000000||You find my boys, I pay you, and everyone's happy!
2119453049|00000000||That's all you witchers ever talk about.
2119453051|00000000||Perfect! Come and find me when you've cleared up this mess.
2119453053|00000000||I need a help! Get over here.
2119453058|fe0a024d|dlcngcl_name|MOD: A Witcher Can Hide Another
2119453059|f5ed1dfa|dlcngcl_description|MOD: A Witcher Can Hide Another: is a new quest story about Geralt getting into trouble and getting help from an unexpected side.
2119453060|00000000||Redanian Officer
2119453061|00000000||A Witcher Can Hide Another
2119453062|00000000||Geralt talked to a Redanian officer and accepted a quest to search for some lost soldiers.
2119453063|00000000||Go to the woods where the soldiers went lost.
2119453064|00000000||Find The Lost Soldiers
2119453065|00000000||NGCL Quest
2119453066|00000000||NGCL Test Test Title
2119453068|00000000||Mysterious Disappearance
2119453069|00000000||In search of a job, Geralt decided to check the noticeboard in Novigrad.<br>
2119453070|00000000||Geralt found contract about disappeared squad of Redanians. The paper said that Redanian officer, who can provide more details, can be found on the bridge on Temple Isle.<br>
2119453071|00000000||After receiving all the required information, Geralt went to investigate the area where redanian soldiers have probably vanished.<br>
2119453072|00000000||A Witcher Can Hide Another
2119453073|00000000||Check a noticeboard in Novigrad.
2119453074|00000000||Talk to the redanian officer at day time.
2119453075|00000000||Go to the woods where redanians got lost.
2119453076|00000000||Use your Witcher Senses to find the lost soldiers.
2119453077|00000000||Complete "A Poet Under Pressure" quest.
2119453078|2f2fd2b0|item_name_ngcl_officer_contract|An Opportunity To Serve Redanian Army!
2119453079|8119ee36|item_desc_ngcl_officer_contract|Mysterious request from the Redanian Army
2119453080|81a9595c|item_name_ngcl_officer_contract_text|A mission of the highest importance is within your reach.<br>The Redanian army requests your services.<br>For more information, a Redanian officer awaits you on the way to the Temple of Eternal Fire during the day.<br>
2119453082|00000000||I knew we couldn't rely on witchers.
2119453084|00000000||Hey Witcher! Come here.
2119453086|00000000||I need a help! Get over here.
2119453088|00000000||Get out of my way.
2119453090|00000000||I'm done with you.
2119453099|00000000||Wait day time to encounter the redanian officer.
2119453100|00000000||Follow redanian soldiers' footprints.
2119453101|00000000||Investigate corpses.
2119453102|00000000||Kill the elves.
2119453103|00000000||Geralt found soldiers, their corpses were lying in the ravine near other bodies. Geralt has noticed that all of them had cyanotic skin and weirdly bent poses, probably died because of breathing failure. But what did cause this?<br>
2119453104|00000000||Check out the body of the white-haired witcher.
2119453105|00000000||Geralt went into elven ambush, intoxicated with an unknown poison, he have lost any control over his body. The help came in an unexpected way - another witcher in heavy armor hurried to help Geralt.<br>
2119453111|00000000||Damn, they're dead.
2119453116|00000000||Skin's unnaturally pale. No injuries. Hm...
2119453119|00000000||Redanian soldier. Looks like he suffocated. Horrible way to die.
2119453120|00000000||Redanian soldier. Body's strangely contorted…
2119453160|00000000||Kill the bear in woods.
2119453166|00000000||Bear prowled this area. But still, track's are clear. Lead into the woods.
2119453168|00000000||They managed to avoid the bear, at least.
2119453171|d7959801|ngcl_ulvbjorn|Ulvbjorn
2119453174|00000000||Don't see any wounds, evidence of a fight.
2119453176|00000000||Corpses look fresh. Curled out. Skin's unnaturally pale, but no blood loss.
2119453178|00000000||Something happened, definitely, before they could attack.
2119453180|00000000||Hmm, maybe… They were poisoned? In what way?
2119453182|00000000||*Sniff* *sniff* Hm, odd smell.
2119453189|00000000||Scoiataeles… What are they up to?
2119453190|00000000||Akh akh ugh… Dammit, can't breathe.
2119453192|00000000||What a catch, it's Vatt'ghern! And still breathing. Emilia will be happy to dissect his body.
2119453194|00000000||I shall help this witcher.
2119453196|00000000||Do you see any chance for my fellow comrade?
2119453198|00000000||I don't know. We'll have to see. I need the main bomb component to be sure...
2119453199|00000000||Find mitigating herbs near the hospital.
2119453200|00000000||Find an antidote for the white-haired witcher.
2119453201|00000000||Return the herbs to the medic.
2119453202|d4486f81|item_name_skates|Skates
2119453203|7e5778bb|item_desc_skates|A special thing to move over an ice
2119453206|a4e52630|map_location_ngcl_elven_lab|Blue Mountains Valley
