;meta[language=ru]
;  id     |key(hex)|key(str)|text
2119453002|00000000||Мне нужна помощь.
2119453006|00000000||Эй, ведьмак! Подойди сюда.
2119453008|00000000||Подойди.
2119453010|00000000||Я отправил своих солдат патрулировать лес к востоку от Урстена.
2119453012|00000000||Уже несколько дней я не получал от них вестей.
2119453014|00000000||Выполнение контрактов – это то, чем вы, ведьмаки, зарабатываете на жизнь. 
2119453029|00000000||Если за него хорошо заплатят.
2119453031|00000000||Почему ты просишь об этом меня?
2119453033|00000000||Хм... Я посмотрю.
2119453035|00000000||Тебя просит Реданская армия.
2119453037|00000000||Этого должно быть достаточно.
2119453039|00000000||Деньги...
2119453041|00000000||Тебе хорошо заплатят, если ты разгадаешь эту тайну.
2119453043|00000000||Не могу представить, чтобы я обратился за помощью к своему начальству из-за того, что потерял своих солдат.
2119453045|00000000||Ты слывёшь не очень разговорчивым, так что...
2119453047|00000000||Если ты найдёшь моих ребят, я тебе заплачу, и все будут довольны!
2119453049|00000000||Это всё, о чём вы, ведьмаки, говорите.
2119453051|00000000||Отлично! Возвращайся ко мне, когда разберёшься со всем этим.
2119453053|00000000||Мне нужна помощь! Сюда!
2119453058|fe0a024d|dlcngcl_name|MOD: Ведьмак прикроет товарища
2119453059|f5ed1dfa|dlcngcl_description|MOD: Ведьмак прикроет товарища: новая история о том, как Геральт попадает в беду и как помощь приходит, откуда не ждали.
2119453060|00000000||Реданский офицер
2119453061|00000000||Ведьмак прикроет товарища
2119453062|00000000||Геральт поговорил с реданским офицером и принял заказ на поиск нескольких пропавших солдат.
2119453063|00000000||Отправиться в лес, где пропали солдаты.
2119453064|00000000||Найти пропавших солдат.
2119453068|00000000||Таинственное исчезновение
2119453069|00000000||В поисках работы Геральт решил проверить доску объявлений в Новиграде.
2119453070|00000000||Геральт увидел контракт, в котором говорилось об исчезновении отряда реданцев. В объявлении говорилось, что реданского офицера, который может рассказать подробнее, можно найти на мосту Храмового острова.<br>
2119453071|00000000||После получения всей необходимой информации Геральт отправился исследовать местность, в которой, скорее всего, и пропали реданские солдаты.<br>
2119453072|00000000||Ведьмак прикроет товарища
2119453073|00000000||Проверить доску объявлений в Новиграде.
2119453074|00000000||Поговорить с реданским офицером в дневное время.
2119453075|00000000||Отправиться в лес, где пропали реданцы.
2119453076|00000000||Использовать ведьмачье чутьё, чтобы найти пропавших солдат.
2119453077|00000000||Завершить квест «Поэт в опале».
2119453078|2f2fd2b0|item_name_ngcl_officer_contract|Возможность поработать на реданскую армию!
2119453079|8119ee36|item_desc_ngcl_officer_contract|Таинственный запрос от реданской армии
2119453080|81a9595c|item_name_ngcl_officer_contract_text|Миссия первостепенной важности в ваших руках.<br>Реданская армия просит вас о помощи.<br>За подробной информацией обращайтесь к реданскому офицеру, ожидающему на пути к Храму Вечного Огня в течение дня.<br>
2119453082|00000000||Я знал, что мы не можем полагаться на ведьмаков.
2119453084|00000000||Эй, ведьмак! Подойди сюда.
2119453086|00000000||Мне нужна помощь! Сюда!
2119453088|00000000||Убирайся!
2119453090|00000000||С меня хватит.
2119453099|00000000||Дождаться наступления дня, чтобы встретиться с реданским офицером.
2119453100|00000000||Пройти по следам реданских солдат.
2119453101|00000000||Изучить трупы.
2119453102|00000000||Убить эльфов.
2119453103|00000000||Геральт нашёл солдат, их трупы лежали в овраге рядом с другими телами. Геральт заметил, что они застыли в странных позах и у всех них была синюшная кожа, что, скорее всего, говорит о смерти ввиду дыхательной недостаточности. Но что её вызвало?<br>
2119453104|00000000||Осмотреть тело беловолосого ведьмака.
2119453105|00000000||Геральт попал в ловушку эльфов, и, будучи отравленным неизвестным ядом, потерял контроль над своим телом. Помощь пришла, откуда не ждали: некий ведьмак в тяжёлой броне поспешил на помощь Геральту.<br>
2119453111|00000000||Чёрт, они мертвы.
2119453116|00000000||Кожа неестественно бледная. Ран нет. Хм...
2119453119|00000000||Реданский солдат. Кажется, задохнулся. Ужасная смерть.
2119453120|00000000||Реданский солдат. Тело странно скручено...
2119453160|00000000||Убить медведя в лесу.
2119453166|00000000||Здесь бродил медведь. Но следы всё ещё чёткие. Ведут в лес.
2119453168|00000000||По крайней мере, им удалось избежать встречи с медведем.
2119453171|d7959801|ngcl_ulvbjorn|Ульвбьорн
2119453174|00000000||Не вижу никаких ран или следов боя.
2119453176|00000000||Трупы выглядят свежими. Свернут калачиком. Кожа неестественно бледная, но нет потери крови.
2119453178|00000000||Что-то определённо произошло прежде, чем они смогли атаковать.
2119453180|00000000||Хмм, может... Они были отравлены? Но как?
2119453182|00000000||*Нюхает* Хм, странный запах.
2119453189|00000000||Скоя'таэли. Что они задумали?
2119453190|00000000||*Кашляет* Чёрт, не могу дышать.
2119453192|00000000||Какой улов, это Vatt'ghern! И всё ещё дышит. Эмилия с удовольствием препарирует его тело.
2119453194|00000000||Я должен помощь этому ведьмаку.
2119453196|00000000||У моего товарища есть шансы?
2119453198|00000000||Я не знаю. Увидим. Чтобы ответить точно, мне нужен главный компонент бомбы.
2119453199|00000000||Найти успокаивающие травы в госпитале.
2119453200|00000000||Найти противоядие для беловолосого ведьмака.
2119453201|00000000||Принести травы медику.
2119453202|d4486f81|item_name_skates|Коньки
2119453203|7e5778bb|item_desc_skates|Специальное устройство для передвижения по льду
2119453206|a4e52630|map_location_ngcl_elven_lab|Долина Синих гор
