Event	ID	Name			Wwise Object Path	Notes
	1456827309	play_ngcl_random_skates_no_knock			\Default Work Unit\play_ngcl_random_skates_no_knock	
	1903583778	play_ngcl_random_skates			\Default Work Unit\play_ngcl_random_skates	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	221642200	ngcl_ice_skates4	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates4_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_container\ngcl_ice_skates4		23346
	290234282	ngcl_ice_skates4b	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates4b_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_b_container\ngcl_ice_skates4b		14726
	299665583	ngcl_ice_skates2b	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates2b_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_b_container\ngcl_ice_skates2b		15120
	505089507	ngcl_ice_skates3b	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates3b_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_b_container\ngcl_ice_skates3b		16906
	505212018	ngcl_ice_skates1b	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates1b_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_b_container\ngcl_ice_skates1b		13458
	546554155	ngcl_ice_skates5	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates5_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_container\ngcl_ice_skates5		17423
	595006647	ngcl_ice_skates5b	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates5b_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_b_container\ngcl_ice_skates5b		9492
	886627542	ngcl_ice_skates3	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates3_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_container\ngcl_ice_skates3		21527
	922334810	ngcl_ice_skates1	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates1_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_container\ngcl_ice_skates1		18307
	1056478187	ngcl_ice_skates2	D:\w3.modding\redkit3Projects\w3.ngcl\ngcl_sounds_wwise\.cache\Windows\SFX\ngcl_ice_skates2_A8560E5F.wem		\Actor-Mixer Hierarchy\Default Work Unit\random_skates_container\ngcl_ice_skates2		21159

